"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,     -0.5385580409,     -0.5385580411,      -5.249604791
          0,           0,           1,     -0.5342065919,      0.9722571236,       1.086013454
          0,           0,           2,     -0.5342066641,      0.9722521429,       1.086008389
          0,           0,           3,     -0.5342066356,       0.972251069,       1.086007394
          0,           0,           4,       -0.53420657,      0.9722491601,       1.086005599
          0,           0,           5,     -0.5342064515,       0.972246173,       1.086002774
          0,           0,           6,     -0.5342062675,      0.9722418647,       1.085998698
          0,           0,           7,      -0.534206064,      0.9722366728,       1.085994024
          0,           0,           8,     -0.5342059154,      0.9722326019,       1.085990478
          0,           0,           9,     -0.5341912278,      0.9858136136,       1.099477145
          0,           0,          10,     -0.5341799936,      0.9965070864,       1.110098075
          0,           0,          11,     -0.5341749013,       1.001434837,       1.114992878
          0,           0,          12,     -0.5341707027,       1.005535169,       1.119066023
          0,           0,          13,     -0.5341712211,       1.005029891,       1.118564043
          0,           0,          14,     -0.5341709556,       1.005288076,       1.118820517
          0,           0,          15,     -0.5341704465,        1.00578774,       1.119316846
          0,           0,          16,     -0.5341697225,       1.006497459,       1.120021887
          0,           0,          17,     -0.5341705042,        1.00573064,       1.119260107
          0,           0,          18,     -0.5341700151,       1.006210227,       1.119736533
          0,           0,          19,      -0.534170155,       1.006072117,       1.119599328
          0,           0,          20,     -0.5341702926,       1.005936545,       1.119464645
          0,           0,          21,     -0.5341699015,       1.006320158,       1.119845721
          0,           0,          22,     -0.5341698433,       1.006377544,       1.119902722
          0,           0,          23,     -0.5341700785,       1.006147542,        1.11967423
          0,           0,          24,     -0.5341700146,       1.006209844,        1.11973612
          0,           0,          25,     -0.5341697517,       1.006468192,        1.11999276
          0,           0,          26,     -0.5341699893,       1.006234781,       1.119760886
          0,           0,          27,     -0.5341700466,       1.006178963,       1.119705434
          0,           0,          28,      -0.534169838,       1.006383076,       1.119908202
          0,           0,          29,     -0.5341701451,       1.006081462,       1.119608573
          0,           0,          30,     -0.5341700723,       1.006153929,       1.119680557
          0,           0,          31,     -0.5341700683,       1.006157425,       1.119684029
          0,           0,          32,     -0.5341698703,       1.006351487,       1.119876814
          0,           0,          33,     -0.5341694634,       1.006750403,       1.120273106
          0,           0,          34,     -0.5341693819,       1.006830083,       1.120352262
          0,           0,          35,     -0.5341693862,       1.006824498,       1.120346716
          0,           0,          36,     -0.5341695526,        1.00666246,       1.120185737
          0,           0,          37,      -0.534169286,       1.006922954,       1.120444524
          0,           0,          38,     -0.5341690767,       1.007128079,       1.120648299
          0,           0,          39,     -0.5341683927,       1.007798841,       1.121314661
          0,           0,          40,     -0.5341683584,       1.007832621,       1.121348217
          0,           0,          41,     -0.5341683893,       1.007802771,       1.121318561
          0,           0,          42,     -0.5341685739,       1.007621673,       1.121138651
          0,           0,          43,     -0.5341686151,        1.00758049,       1.121097739
          0,           0,          44,     -0.5341682438,       1.007945289,       1.121460144
          0,           0,          45,     -0.5341683504,       1.007840544,       1.121356085
          0,           0,          46,     -0.5341685338,       1.007659433,       1.121176168
          0,           0,          47,      -0.534168526,       1.007667615,       1.121184293
          0,           0,          48,     -0.5341682896,       1.007899124,       1.121414286
          0,           0,          49,     -0.5341682761,       1.007911963,        1.12142704
          0,           0,          50,     -0.5341685365,       1.007656117,       1.121172873
          0,           0,          51,     -0.5341686304,       1.007564558,       1.121081914
          0,           0,          52,     -0.5341687579,       1.007439286,       1.120957463
          0,           0,          53,     -0.5341688261,       1.007371887,       1.120890508
          0,           0,          54,     -0.5341688605,        1.00733813,       1.120856974
          0,           0,          55,      -0.534168579,       1.007614739,       1.121131762
          0,           0,          56,     -0.5341686567,       1.007537538,       1.121055071
          0,           0,          57,      -0.534168717,         1.0074789,       1.120996816
          0,           0,          58,     -0.5341686826,       1.007512139,       1.121029836
          0,           0,          59,     -0.5341686887,       1.007505877,       1.121023618
          0,           0,          60,      -0.534168634,       1.007559465,       1.121076853
          0,           0,          61,     -0.5341687316,       1.007464069,       1.120982083
          0,           0,          62,     -0.5341688487,       1.007349002,       1.120867772
          0,           0,          63,     -0.5341689152,       1.007283182,       1.120802386
          0,           0,          64,      -0.534169991,       1.006227264,       1.119753416
          0,           0,          65,     -0.5341700932,       1.006128668,       1.119655463
          0,           0,          66,     -0.5341701347,        1.00608735,       1.119614416
          0,           0,          67,     -0.5341708724,        1.00536474,       1.118896569
          0,           0,          68,     -0.5341708171,       1.005419767,       1.118951232
          0,           0,          69,     -0.5341708826,       1.005355091,       1.118886982
          0,           0,          70,     -0.5341710695,       1.005173338,       1.118706426
          0,           0,          71,     -0.5341709451,       1.005294126,       1.118826421
          0,           0,          72,     -0.5341708982,       1.005340166,       1.118872155
          0,           0,          73,     -0.5341707178,        1.00551594,       1.119046773
          0,           0,          74,     -0.5341707936,       1.005441653,       1.118972975
          0,           0,          75,     -0.5341706528,       1.005579327,       1.119109742
          0,           0,          76,     -0.5341707934,       1.005441483,       1.118972805
          0,           0,          77,     -0.5341708509,       1.005384718,        1.11891642
          0,           0,          78,     -0.5341706392,       1.005591939,       1.119122276
          0,           0,          79,     -0.5341705442,       1.005684975,       1.119214697
          0,           0,          80,     -0.5341707435,       1.005490268,       1.119021274
          0,           0,          81,     -0.5341707555,       1.005477959,       1.119009046
          0,           0,          82,     -0.5341707676,       1.005466453,       1.118997612
          0,           0,          83,     -0.5341704579,       1.005768272,       1.119297447
          0,           0,          84,     -0.5341703855,       1.005839181,       1.119367889
          0,           0,          85,     -0.5341706064,        1.00562343,       1.119153559
          0,           0,          86,      -0.534170252,       1.005969715,       1.119497565
          0,           0,          87,     -0.5341700871,       1.006131066,       1.119657855
          0,           0,          88,     -0.5341701653,       1.006054316,       1.119581609
          0,           0,          89,     -0.5341701391,       1.006079763,       1.119606889
          0,           0,          90,     -0.5341706839,       1.005546091,       1.119076736
          0,           0,          91,     -0.5341707589,       1.005472456,       1.119003588
          0,           0,          92,      -0.534170622,       1.005606522,       1.119136768
          0,           0,          93,     -0.5341705527,        1.00567435,        1.11920415
          0,           0,          94,     -0.5341704995,       1.005726124,       1.119255583
          0,           0,          95,     -0.5341705591,       1.005667399,       1.119197247
          0,           0,          96,     -0.5341704374,        1.00578653,       1.119315592
          0,           0,          97,     -0.5341704269,       1.005796359,       1.119325358
          0,           0,          98,     -0.5341705052,       1.005719251,       1.119248757
          0,           0,          99,     -0.5341704903,       1.005734018,       1.119263425
          0,           0,         100,     -0.5341707534,       1.005475936,       1.119007045
          0,           0,         101,     -0.5341707641,       1.005465609,       1.118996785
          0,           0,         102,     -0.5341706526,       1.005574682,       1.119105141
          0,           0,         103,     -0.5341707241,       1.005504675,       1.119035594
          0,           0,         104,     -0.5341707105,       1.005518081,       1.119048913
          0,           0,         105,     -0.5341706529,       1.005574136,       1.119104597
          0,           0,         106,     -0.5341708466,       1.005384861,       1.118916569
          0,           0,         107,     -0.5341714009,       1.004842132,       1.118377419
          0,           0,         108,     -0.5341713407,       1.004901419,       1.118436315
          0,           0,         109,     -0.5341711709,       1.005067715,       1.118601512
          0,           0,         110,     -0.5341710562,       1.005178931,       1.118712001
          0,           0,         111,     -0.5341713281,       1.004913529,        1.11844835
          0,           0,         112,     -0.5341713692,       1.004873428,       1.118408513
          0,           0,         113,     -0.5341714379,       1.004805994,       1.118341525
          0,           0,         114,     -0.5341716374,       1.004610866,       1.118147686
          0,           0,         115,     -0.5341716089,       1.004638688,       1.118175324
          0,           0,         116,     -0.5341723984,       1.003867361,       1.117409096
          0,           0,         117,     -0.5341721844,       1.004077018,       1.117617364
          0,           0,         118,      -0.534172059,       1.004198977,       1.117738519
          0,           0,         119,     -0.5341720399,        1.00421738,       1.117756802
          0,           0,         120,     -0.5341720455,       1.004211219,       1.117750685
          0,           0,         121,     -0.5341723627,       1.003902247,       1.117443754
          0,           0,         122,      -0.534172211,       1.004049564,       1.117590099
          0,           0,         123,     -0.5341724066,       1.003859233,       1.117401023
          0,           0,         124,     -0.5341724032,       1.003862709,       1.117404477
          0,           0,         125,     -0.5341723494,        1.00391455,       1.117455976
